vote_average,vote_count,revenue,runtime,adult,popularity,title_length,budget,sentiment_cluster,num_production_countries,is_produced_in_US,num_spoken_languages,is_spoken_in_English,lang_en,lang_fr,lang_es,release_month,release_Friday,release_Monday,release_Saturday,release_Sunday,release_Thursday,release_Tuesday,release_Wednesday,release_1910s,release_1920s,release_1930s,release_1940s,release_1950s,release_1960s,release_1970s,release_1980s,release_1990s,release_2000s,release_2010s,release_2020s,season_Fall,season_Spring,season_Summer,season_Winter,num_genres_list,genres_list__Action_,genres_list__Adventure_,genres_list__Animation_,genres_list__Comedy_,genres_list__Crime_,genres_list__Documentary_,genres_list__Drama_,genres_list__Family_,genres_list__Fantasy_,genres_list__History_,genres_list__Horror_,genres_list__Music_,genres_list__Mystery_,genres_list__Romance_,genres_list__Science_Fiction_,genres_list__Thriller_,genres_list__War_,genres_list__Western_,revenue_log,runtime_log,popularity_log,budget_log,num_genres_list_log,num_production_countries_log,num_spoken_languages_log,title_length_log,vote_average_category
8.364,34495,825532764.0,148,0,83.952,9,160000000.0,2,2,1,4,1,1,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.531539511633092,5.003946305945459,4.442086391101545,18.8906843794481,3.7612001156935624,1.0986122886681096,1.6094379124341003,2.302585092994046,2
8.417,32571,701729206.0,169,0,140.241,12,165000000.0,2,2,1,1,1,1,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,41,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,20.369058142557094,5.135798437050262,4.950467651182389,18.92145603792546,3.7376696182833684,1.0986122886681096,0.6931471805599453,2.5649493574615367,2
8.512,30619,1004558444.0,152,0,130.643,15,185000000.0,2,2,1,2,1,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,40,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,20.727813923702396,5.030437921392435,4.880093713241171,19.035866388448003,3.713572066704308,1.0986122886681096,1.0986122886681096,2.772588722239781,2
7.573,29815,2923706026.0,162,0,79.932,6,237000000.0,2,2,1,2,1,1,0,0,12,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,53,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,21.796117835817967,5.093750200806762,4.393609295916948,19.283570703318816,3.9889840465642745,1.0986122886681096,1.0986122886681096,1.9459101490553132,1
7.71,29166,1518815515.0,143,0,98.082,12,220000000.0,2,1,1,3,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.14119660222971,4.969813299576001,4.5959477901259485,19.20913810886209,3.7612001156935624,0.6931471805599453,1.3862943611198906,2.5649493574615367,1
7.606,28894,783100000.0,108,0,72.735,8,58000000.0,2,1,1,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,33,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.47877096099814,4.6913478822291435,4.300477584702904,17.87595358575207,3.5263605246161616,0.6931471805599453,0.6931471805599453,2.1972245773362196,1
8.255,27713,2052415039.0,149,0,154.34,22,300000000.0,2,1,1,2,1,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21.442283005011472,5.0106352940962555,5.045616262991501,19.519293035953808,3.7612001156935624,0.6931471805599453,1.0986122886681096,3.1354942159291497,2
8.438,27238,100853753.0,139,0,69.498,10,63000000.0,1,1,1,1,1,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.42918204527112,4.941642422609304,4.255584340621495,17.958645300228824,2.302585092994046,0.6931471805599453,0.6931471805599453,2.3978952727983707,2
7.906,26638,772776600.0,121,0,33.255,23,170000000.0,0,1,1,1,1,1,0,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20.46550056219508,4.804021044733257,3.5338325394548624,18.951309000896888,3.7612001156935624,0.6931471805599453,0.6931471805599453,3.1780538303479458,1
8.488,25893,213900000.0,154,0,74.862,12,8500000.0,2,1,1,3,1,1,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,19.181019178727716,5.043425116919247,4.328915900268611,15.955576839107596,3.091042453358316,0.6931471805599453,1.3862943611198906,2.5649493574615367,2
